,Birth_rate,Business_Tax_Rate,Co2_Emmissions,Days_to_Start_Business,Ease_of_business,Energy_Usage,GDP,Health_Exp_percent_gdp,Health_exp_capita,Hours_to_tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0_14,Population_15_64,Population_65_plus,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,pop
600,0.019,36.67142857142857,205.0,20.142857142857142,109.57142857142857,15235.57142857143,544381962.0,0.066,353.0,202.85714285714286,0.013,0.1,0.113,73.0,68.0,0.1,0.33,0.592,0.077,102099.0,0.361,91000000.0,8000000.0,0.9989999999999999
601,0.036,40.628571428571426,11096.0,34.857142857142854,127.42857142857143,7248.0,20776536920.0,0.062,110.0,344.14285714285717,0.037,0.0,0.169,72.0,65.0,0.1,0.438,0.521,0.042,11765738.0,0.459,647000000.0,329000000.0,1.0010000000000001
602,0.022,38.800000000000004,1580.0,66.14285714285714,104.57142857142857,15454.285714285714,722460912.0,0.058,56.0,256.0,0.037,0.35714285714285715,0.163,67.0,60.0,0.1,0.358,0.6,0.042,750629.0,0.285,53000000.0,44000000.0,1.0
603,0.03,44.77142857142858,1826.0,52.285714285714285,142.14285714285714,2309.0,3214632479.0,0.055,20.0,217.57142857142858,0.071,0.0,0.342,60.0,56.0,0.0,0.394,0.566,0.04,8859635.0,0.389,108000000.0,172000000.0,1.0
604,0.03,43.371428571428574,6091.0,30.0,140.28571428571428,3380.0,7776459964.0,0.073,88.0,315.85714285714283,0.029,0.0,0.227,73.0,69.0,0.1,0.414,0.545,0.04,6495801.0,0.466,305000000.0,221000000.0,0.9990000000000001
605,0.018,44.800000000000004,10301.0,45.142857142857146,140.57142857142858,3586.0,9718989517.0,0.049,180.0,280.14285714285717,0.019,0.1,0.185,74.0,68.0,0.5,0.321,0.604,0.076,2615253.0,0.523,1482000000.0,274000000.0,1.0010000000000001
606,0.023,41.92857142857143,391251.0,26.0,79.14285714285714,150843.0,741559499085.0,0.056,396.0,269.57142857142856,0.019,0.1,0.082,77.0,72.0,0.2,0.334,0.615,0.051,106723661.0,0.754,9547000000.0,7087000000.0,1.0
607,0.027,48.58571428571429,4037.0,27.285714285714285,141.71428571428572,2636.0,5224213019.0,0.057,57.0,219.0,0.03,0.0,0.183,74.0,68.0,0.0,0.397,0.565,0.039,5248577.0,0.552,135000000.0,125000000.0,1.001
608,0.023,44.300000000000004,5871.0,51.57142857142857,124.85714285714286,2625.0,12272400000.0,0.08,310.0,303.2857142857143,0.021,0.1,0.106,78.0,73.0,0.2,0.316,0.627,0.057,3178450.0,0.628,710000000.0,252000000.0,1.0
609,0.027,42.271428571428565,3898.0,30.714285714285715,129.42857142857142,3885.0,6325151760.0,0.07,79.0,233.0,0.026,0.0,0.387,73.0,69.0,0.3,0.372,0.582,0.045,5571371.0,0.566,76000000.0,117000000.0,0.999
